npm run 'dag2:performance-worker' [iterations] [action]
Values: iterations=100 action=base
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}starting...
0
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}1
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}2
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}3
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}4
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}5
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}6
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}7
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}8
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}9
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}10
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}11
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}12
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}13
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}14
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}15
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}16
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}17
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}18
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}19
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}20
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}21
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}22
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}23
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}24
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}25
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}26
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}27
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}28
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}29
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}30
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}31
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}32
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}33
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}34
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}35
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}36
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}37
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}38
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}39
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}40
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}41
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}42
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}43
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}44
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}45
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}46
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}47
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}48
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}49
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}50
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}51
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}52
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}53
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}54
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}55
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}56
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}57
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}58
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}59
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}60
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}61
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}62
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}63
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}64
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}65
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}66
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}67
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}68
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}69
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}70
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}71
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}72
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}73
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}74
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}75
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}76
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}77
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}78
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}79
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}80
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}81
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}82
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}83
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}84
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}85
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}86
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}87
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}88
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}89
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}90
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}91
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}92
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}93
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}94
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}95
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}96
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}97
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}98
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}99
 Update {room_id=a4ce3ced23 text='Hello World!', depth=0, predecessors=[0,0], id=3b9e9e4680}
